fechas;demanda
2021-10-01;9
2021-11-01;12
2021-12-01;9
2022-01-01;17
2022-02-01;11
2022-03-01;12
2022-04-01;4
2022-05-01;2
2022-06-01;4
2022-07-01;19
2022-08-01;15
2022-09-01;18
2022-10-01;9
2022-11-01;0
2022-12-01;16
2023-01-01;13
2023-02-01;1
2023-03-01;2
2023-04-01;0
2023-05-01;1
2023-06-01;9
2023-07-01;4
2023-08-01;15
2023-09-01;0
2023-10-01;4
2023-11-01;16
2023-12-01;0
2024-01-01;23
2024-02-01;0
2024-03-01;0
2024-04-01;9
2024-05-01;4
2024-06-01;6
2024-07-01;0
2024-08-01;0
2024-09-01;23
